Geneid	Chr	Start	End	Strand	Length	cont_1	cont_2	cont_3	KD_1	KD_2	KD_3
ENSMUSG00000033960	18;18;18;18	4634927;4649073;4672513;4680224	4635029;4649403;4676165;4682866	+;+;+;+	6730	2421	2770	2457	1941	1595	1716
ENSMUSG00000073646	18;18;18;18;18;18;18;18;18;18	4812484;4819307;4820959;4823056;4831157;4844872;4845159;4848448;4849484;4850818	4812615;4819359;4821071;4823155;4831260;4845072;4847913;4848567;4849671;4850957	+;+;+;+;+;+;+;+;+;+	3906	0	0	0	1	0	0
ENSMUSG00000024236	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	4920538;4921724;4957215;4971088;4977789;4993811;4994616;5002071;5037106;5040146;5046587;5046762;5048883;5054016;5055978;5057273;5058123;5058661;5058711;5059228;5060513;5062160;5063192;5064469;5073879;5082781;5086533;5086708;5088635;5090785;5092843;5094379;5095170;5095434;5097425;5098906;5099432;5103573;5105764;5106662;5108573;5114251;5115976;5116971;5118098;5118344	4920872;4921772;4957303;4971195;4977876;4993985;4995147;5003074;5037163;5040237;5046644;5046913;5049492;5054096;5056847;5057437;5058388;5058667;5058772;5059367;5060608;5062403;5063768;5064688;5074002;5082928;5086622;5086794;5088812;5090957;5092998;5094672;5095317;5095579;5097600;5099050;5099708;5103724;5105869;5106869;5108706;5114684;5116119;5117095;5118253;5119297	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10633	5494	5715	5082	2817	2217	2338
ENSMUSG00000085461	18;18;18	5162878;5165286;5165669	5164430;5165400;5165729	-;-;-	1729	98	74	91	82	54	58
ENSMUSG00000050945	18;18;18;18;18	5210029;5213117;5245384;5288859;5334344	5211196;5214917;5245451;5288936;5334437	-;-;-;-;-	3209	626	625	639	549	482	472
ENSMUSG00000063087	18;18;18;18;18;18;18;18;18	5491501;5520589;5525212;5540604;5565648;5574983;5583010;5583711;5592158	5492095;5520767;5525387;5540676;5567588;5575409;5583131;5583794;5592437	-;-;-;-;-;-;-;-;-	3877	161	143	148	128	121	105
ENSMUSG00000024238	18;18;18;18;18;18;18;18;18;18;18;18;18	5591858;5593532;5594201;5603742;5641380;5641739;5705041;5748692;5758963;5761326;5766219;5770382;5772427	5591965;5593917;5594470;5604081;5641516;5642871;5706882;5748853;5759165;5761431;5768023;5770562;5775465	+;+;+;+;+;+;+;+;+;+;+;+;+	9712	33915	38267	34798	26821	23411	24382
ENSMUSG00000090078	18	5611556	5611834	-	279	9	4	5	9	4	4
ENSMUSG00000080543	18	5614471	5614581	+	111	2	1	0	4	0	1
ENSMUSG00000041225	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	6024446;6027573;6027958;6028192;6031728;6033139;6034448;6037016;6039352;6049275;6052860;6056977;6057515;6061845;6064339;6065703;6069829;6111683;6115812;6135802	6026728;6027675;6028092;6028269;6031826;6033255;6034550;6037114;6039453;6049356;6052921;6056991;6057589;6061970;6064419;6065843;6070089;6112437;6115848;6136096	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5049	6429	6808	6512	4714	4124	4216
ENSMUSG00000006740	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	6201000;6208185;6208998;6210698;6212515;6213185;6213391;6214510;6216221;6216739;6220222;6220800;6222717;6223544;6223969;6225316;6225595;6225766;6226380;6226862;6227586;6234813;6240980;6242071	6203705;6208333;6209214;6211250;6212616;6213294;6214085;6214698;6216364;6216945;6220290;6220993;6223036;6223689;6224073;6225440;6225682;6225821;6226428;6226966;6227659;6234900;6241781;6242172	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7395	23076	24898	22786	19616	17008	17850
ENSMUSG00000091165	18;18	6213911;6227211	6214052;6227322	+;+	254	0	2	3	0	2	0
ENSMUSG00000073640	18	6332588	6333062	+	475	314	229	223	223	175	133
ENSMUSG00000024240	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	6435949;6439590;6440047;6441120;6441800;6448903;6450067;6450295;6450464;6452231;6453507;6454185;6455187;6462830;6489158;6490461;6515863	6437305;6439953;6440188;6441241;6441892;6449255;6450215;6450384;6450637;6452390;6453655;6454391;6455332;6462989;6489328;6490854;6516106	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4475	4889	5515	5009	4551	3906	3716
ENSMUSG00000084514	18	6490562	6490644	-	83	0	0	0	0	0	0
ENSMUSG00000039540	18;18;18;18;18;18;18;18;18;18	6603627;6619305;6620102;6623464;6623952;6626321;6629479;6630051;6635813;6638597	6603674;6619408;6620243;6623522;6624051;6626529;6629689;6630163;6635942;6638964	+;+;+;+;+;+;+;+;+;+	1484	0	0	0	0	0	0
ENSMUSG00000073639	18;18;18;18;18;18;18	6765198;6770052;6778493;6783118;6784568;6784937;6788478	6765330;6770107;6778554;6783190;6784686;6785003;6790320	+;+;+;+;+;+;+	2353	8242	8548	8067	7332	6722	6642
ENSMUSG00000061013	18;18;18;18;18;18;18	6934964;6937166;6992036;6992776;7000591;7002355;7004620	6937052;6937199;6992371;6992932;7000750;7002621;7004777	-;-;-;-;-;-;-	3201	263	292	244	190	172	139
ENSMUSG00000061802	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	7088231;7127210;7129397;7181732;7211397;7214567;7216933;7217746;7222544;7223528;7264999;7266881;7268398;7273157;7285345;7285684;7286659;7288482;7294386;7296949;7297878	7088565;7127431;7129585;7181846;7211639;7214721;7217043;7217988;7222753;7223674;7265146;7266979;7268585;7273273;7285481;7285790;7286845;7288639;7294622;7297055;7297899	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3477	6	1	4	3	0	8
ENSMUSG00000057440	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	7347960;7353152;7355016;7356140;7379987;7403184;7429282;7430259;7430393;7439567;7440081;7440430;7441551;7442791;7443972;7458930;7461636;7512942;7561724;7626731	7351142;7353295;7355124;7356233;7380067;7403354;7429322;7430270;7430413;7439631;7440277;7440504;7441636;7442872;7444103;7459010;7461713;7513060;7561870;7626861	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5049	1485	1580	1455	1396	1292	1258
ENSMUSG00000062196	18	7581514	7581921	+	408	1	2	0	0	0	0
ENSMUSG00000064822	18	7835175	7835281	+	107	0	0	0	0	0	0
ENSMUSG00000024283	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	7868830;7869194;7869714;7871529;7901494;7905398;7905930;7910514;7916029;7917551;7918431;7920130;7921420;7921854;7926068;7973503	7869089;7869613;7870025;7871788;7901600;7905513;7906042;7910822;7916385;7917673;7918579;7920248;7921606;7921981;7929026;7973545	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5962	10218	11683	10903	9848	8814	8718
ENSMUSG00000091019	18	7932780	7933512	+	733	1	1	1	2	2	0
ENSMUSG00000092097	18	8694075	8694539	+	465	5	8	9	8	6	7
ENSMUSG00000093342	18	8698251	8698354	-	104	0	1	0	0	0	0
ENSMUSG00000036904	18	9212854	9216199	+	3346	285	293	270	534	446	393
ENSMUSG00000036855	18;18	9278605;9282553	9281010;9282807	-;-	2661	1	0	1	0	2	0
ENSMUSG00000024286	18;18;18;18;18;18;18;18;18;18	9314042;9319407;9332782;9345192;9345412;9349386;9353405;9377792;9386733;9449516	9316670;9319569;9332948;9345311;9345469;9349421;9353505;9377826;9386807;9450148	-;-;-;-;-;-;-;-;-;-	4017	5706	6155	5955	4961	4267	4247
ENSMUSG00000088996	18	9614312	9614437	+	126	0	0	0	0	0	0
ENSMUSG00000050996	18;18	9615522;9618554	9615845;9619476	-;-	1247	0	0	0	0	0	0
ENSMUSG00000036103	18;18;18;18;18;18;18;18;18;18	9707646;9720919;9840237;9846785;9848102;9858544;9859836;9866742;9874787;9876986	9707757;9720969;9840359;9846883;9849148;9859032;9859972;9866851;9874932;9877993	+;+;+;+;+;+;+;+;+;+	3322	77	64	62	83	53	71
ENSMUSG00000091285	18	9726195	9726668	-	474	1	1	2	0	0	0
ENSMUSG00000089054	18	9763158	9763260	-	103	0	0	0	0	0	0
ENSMUSG00000092816	18	9827024	9827117	-	94	1	0	0	1	0	1
ENSMUSG00000092039	18	9916893	9917753	+	861	0	0	0	0	0	0
ENSMUSG00000024287	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	9958178;9959096;9959253;9960484;9962371;9963261;9963821;9968749;9970253;9975597;9977845;9984432;9986287;9986551;9986689;9987068;9987597;9989689;9992126;9992830;9993319	9958244;9959169;9959313;9960550;9962489;9963309;9963916;9968831;9970326;9975705;9977976;9984532;9986353;9986601;9986759;9987163;9987662;9989772;9992273;9992905;9995482	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3855	3282	3545	3263	2983	2632	2632
ENSMUSG00000047879	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	9995430;9996898;9997715;10000493;10001769;10002366;10004894;10005628;10007765;10009351;10011999;10016539;10017989;10021702;10024149;10029911;10044927	9996246;9997278;9997772;10000621;10001861;10002431;10005008;10005713;10008406;10010080;10012269;10016923;10018093;10022848;10024677;10030139;10045117	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5974	10149	10797	10135	8230	7435	7610
ENSMUSG00000024290	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	10064399;10067469;10070217;10070620;10072830;10073113;10079113;10080349;10083120;10084316;10090811;10092127;10093906;10095411;10097481;10099255;10100920;10104072;10104416;10106320;10112342;10116772;10119883;10122607;10129303;10131528;10132126;10134414;10136094;10140174;10140786;10150233;10181223	10066049;10067676;10070478;10070698;10072918;10073183;10079272;10080537;10083208;10084409;10090976;10092221;10093975;10095595;10097641;10099405;10101026;10104318;10104507;10106455;10112390;10116860;10119943;10122766;10129394;10131666;10132270;10134498;10136269;10140311;10140886;10150314;10181790	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6187	5381	6293	5969	5304	4691	4875
ENSMUSG00000065941	18	10150975	10151138	-	164	0	0	0	0	0	0
ENSMUSG00000042942	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	10325175;10449928;10458220;10458576;10469340;10474217;10476664;10498949;10499882;10503156;10509081;10510626;10511327;10515192;10522086;10523205;10529574;10532793;10537062;10538130;10541641;10542341;10544445;10544867;10547008;10547279;10553701;10554822;10555884;10557238;10558784;10560318	10325287;10450034;10458379;10458773;10469516;10474393;10476786;10499065;10502410;10503341;10509407;10510754;10511461;10515500;10522266;10523397;10529704;10533132;10537177;10538374;10542188;10542443;10544600;10545006;10547169;10547483;10553866;10555049;10556025;10557438;10558922;10562932	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10798	259	288	243	224	165	193
ENSMUSG00000071868	18	10482680	10483544	-	865	10	13	12	7	10	10
ENSMUSG00000084693	18	10551287	10551404	-	118	4	3	1	1	1	4
ENSMUSG00000024293	18;18;18;18;18;18;18;18;18;18;18;18	10566510;10571953;10574873;10576999;10577636;10582053;10584246;10585976;10588437;10593744;10596337;10610024	10567644;10572140;10575016;10577088;10577757;10582184;10584360;10586039;10588548;10595873;10596439;10610350	-;-;-;-;-;-;-;-;-;-;-;-	4662	1642	1687	1673	1804	1529	1522
ENSMUSG00000002477	18;18;18;18	10617794;10623629;10626824;10627792	10617924;10623705;10627015;10628228	+;+;+;+	837	5580	6124	5914	4781	4576	4268
ENSMUSG00000002475	18;18;18;18;18;18;18;18;18	10644409;10647724;10647968;10652186;10658778;10682067;10704546;10705999;10706528	10645233;10647889;10648016;10652359;10658890;10682112;10704728;10706162;10706769	-;-;-;-;-;-;-;-;-	1962	80	81	68	128	109	100
ENSMUSG00000084832	18;18;18	10706858;10710510;10711678	10708202;10710564;10711830	+;+;+	1553	1	0	2	0	1	0
ENSMUSG00000024294	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	10725546;10740981;10743267;10747354;10749321;10751821;10755502;10760802;10763187;10768122;10775527;10778147;10792893;10794476;10795688;10798350;10800054;10802259;10804685;10808032;10811983	10726531;10741152;10743396;10747458;10749387;10752025;10755697;10760946;10763320;10768229;10775724;10778298;10793025;10794562;10795849;10798531;10800246;10802337;10804798;10808132;10818702	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10369	20638	22470	20335	14224	12147	13401
ENSMUSG00000087816	18	10757534	10757655	+	122	0	0	1	2	1	0
ENSMUSG00000065399	18	10782897	10782983	-	87	0	0	0	0	0	0
ENSMUSG00000080662	18	10785444	10785565	+	122	6	4	1	3	0	2
ENSMUSG00000087274	18;18;18	11049085;11051256;11052473	11050819;11051487;11052565	-;-;-	2060	0	0	0	0	0	0
ENSMUSG00000005836	18;18;18;18;18;18;18	11052508;11054034;11059050;11063016;11064508;11064686;11084313	11052741;11055187;11059216;11063141;11064595;11064789;11085633	+;+;+;+;+;+;+	3194	7	2	2	3	8	2
ENSMUSG00000041238	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	11791785;11815936;11816351;11819244;11831091;11836104;11851521;11855252;11864201;11874243;11877342;11879054;11880149;11881113;11883916;11885682;11890699;11892985;11897082;11899435;11901125	11792033;11816201;11816482;11819450;11831133;11836199;11851633;11855318;11864376;11874347;11877439;11879166;11881034;11881239;11884004;11885793;11890839;11893054;11897178;11899576;11901716	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3921	2349	2664	2460	2089	1790	1923
ENSMUSG00000087420	18;18;18;18;18	11979185;11979624;11981407;11983673;11997690	11979574;11980616;11981548;11983735;11997846	-;-;-;-;-	1745	24	33	22	35	19	25
ENSMUSG00000040957	18;18;18;18;18;18;18;18;18;18	11997729;12041223;12047246;12064434;12081869;12083324;12084770;12098228;12099689;12102970	11999042;12041294;12047338;12064511;12081965;12083480;12084873;12098334;12099896;12104136	+;+;+;+;+;+;+;+;+;+	3397	975	1121	909	940	790	710
ENSMUSG00000084565	18	11998870	11998947	-	78	2	4	3	5	10	2
ENSMUSG00000049411	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	12139812;12152073;12201723;12206074;12217435;12222713;12225180;12225569;12226807;12228589;12233127;12242501;12262608;12264363;12271904;12276913;12279890	12142102;12152137;12201816;12206143;12217469;12222748;12225216;12225614;12226855;12228640;12233152;12242578;12262689;12264512;12271981;12276959;12279989	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3336	504	542	472	510	457	372
ENSMUSG00000024404	18;18;18;18;18;18;18;18;18;18;18;18;18	12287359;12294361;12295202;12295437;12295749;12297826;12301445;12307300;12308028;12311308;12311480;12312422;12313729	12287482;12294476;12295347;12295544;12295858;12297969;12301572;12307497;12308187;12311388;12311569;12312529;12315876	+;+;+;+;+;+;+;+;+;+;+;+;+	3661	6637	7132	6725	4281	3694	3819
ENSMUSG00000084748	18	12321947	12322065	+	119	0	0	0	0	0	0
ENSMUSG00000024410	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	12327226;12327742;12330058;12334646;12336697;12337622;12337998;12338994;12339175;12340093;12342488;12343401;12343940;12347329;12348315	12327411;12327818;12330142;12334702;12336783;12337762;12338101;12339083;12339625;12340204;12342771;12343529;12347146;12347894;12348506	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5768	1896	2061	1860	1611	1418	1335
ENSMUSG00000024413	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	12348202;12350193;12351803;12352572;12353518;12354993;12355691;12356468;12357017;12357882;12358108;12359287;12360073;12360630;12363280;12366816;12368891;12369995;12370704;12370897;12371766;12372840;12376087;12382435;12394690	12349511;12350355;12351916;12352803;12353718;12355122;12355806;12356658;12357106;12358022;12358235;12359401;12360255;12360819;12363382;12366916;12369117;12370365;12370777;12371063;12372015;12373007;12381664;12382596;12394909	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	10725	7686	8072	7447	7580	6578	6348
ENSMUSG00000086935	18;18	12352277;12356768	12352361;12357184	+;+	502	3	3	3	1	0	1
ENSMUSG00000057766	18;18;18;18;18;18;18;18;18;18;18	12410871;12419443;12420621;12426959;12430163;12434215;12438199;12440812;12449226;12454388;12464120	12413210;12419541;12420716;12427057;12430206;12434313;12438297;12440910;12449324;12454498;12464229	-;-;-;-;-;-;-;-;-;-;-	3295	243	220	199	157	154	152
ENSMUSG00000082051	18	12445913	12448289	+	2377	7	3	3	4	3	0
ENSMUSG00000024421	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	12492533;12527961;12560544;12561304;12562484;12565996;12570049;12572248;12577675;12578306;12579646;12588390;12597843;12599604;12606774;12608041;12608320;12608904;12612229;12615219;12618191;12620647;12621194;12623870;12626761;12628362;12630691;12635836;12636045;12638264;12639395;12640452;12649428;12649981;12653775;12656394;12658996;12661443;12662711;12665430;12668959;12672153;12674991;12677246;12678368;12683015;12683235;12683519;12684293;12686058;12686804;12687222;12688015;12690344;12690543;12692470;12696196;12698178;12698471;12699044;12700817;12705851;12707701;12711287;12711674;12715136;12716180;12720206;12726175;12730409;12732723;12736261;12736523;12738795;12740202;12741027	12492817;12528113;12560661;12561422;12562654;12566087;12570164;12572366;12577765;12578437;12579708;12588524;12597980;12599650;12606873;12608093;12608425;12609003;12612385;12615351;12618333;12620744;12621347;12624030;12626869;12628459;12630826;12635962;12636184;12638379;12639606;12640656;12649572;12650121;12653936;12656492;12659079;12661673;12662904;12665543;12669068;12672233;12675097;12677296;12678519;12683125;12683346;12683686;12684489;12686174;12686958;12687363;12688117;12690457;12690722;12692612;12696366;12698329;12698633;12699177;12700961;12705970;12707834;12711404;12711814;12715275;12716311;12720359;12726341;12730592;12732863;12736420;12736653;12738888;12740321;12741522	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10537	23	26	28	22	23	20
ENSMUSG00000090309	18	12657194	12657637	-	444	0	1	3	2	0	1
ENSMUSG00000088342	18	12736933	12737046	-	114	0	0	0	0	0	0
ENSMUSG00000024424	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	12758435;12801853;12843346;12845461;12848282;12853745;12856400;12878459;12883448;12887129;12888503;12891467;12893214;12894489;12895183	12758512;12802552;12843394;12847954;12848396;12854099;12856568;12878552;12883555;12887238;12888626;12891564;12893500;12894527;12895559	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5197	824	851	834	748	652	624
ENSMUSG00000087950	18	12873320	12873404	+	85	2	0	1	1	0	0
ENSMUSG00000024430	18;18;18;18;18;18	12899833;12903001;12903265;12909169;12912370;12913573	12899910;12903173;12903318;12910337;12912972;12913655	+;+;+;+;+;+	2160	59	55	72	59	53	48
ENSMUSG00000083332	18	12900973	12901768	-	796	2	2	1	4	3	2
ENSMUSG00000044252	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	12913823;12916117;12917276;12917908;12921066;12921418;12921991;12925312;12926975;12929808;12932738;12946829;12978014;12999693;13018494;13020616;13021652;13027546;13028725;13038232;13040705;13047510;13050676;13056626;13063532;13063703;13064480;13065397;13068367;13069586;13073011;13086534;13087517;13092089;13096512;13100141	12914816;12916207;12917399;12918024;12921201;12921507;12922098;12925646;12927144;12929942;12932776;12946904;12978416;12999855;13018760;13021423;13021889;13027616;13029693;13038486;13040786;13047555;13050798;13056810;13063595;13063776;13064524;13065458;13068511;13069671;13073122;13086844;13087602;13092211;13096601;13100350	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7433	4857	5318	4936	3385	2939	2920
ENSMUSG00000080866	18	13056936	13057575	+	640	16	18	18	12	16	15
ENSMUSG00000089129	18	13120008	13120314	+	307	26	30	23	26	20	23
ENSMUSG00000024423	18;18;18;18;18;18;18;18;18;18;18	13130761;13133222;13134488;13134978;13140599;13142748;13143728;13144833;13146804;13148254;13149002	13130881;13133350;13134540;13135040;13140684;13142873;13143825;13144906;13146894;13148388;13151457	+;+;+;+;+;+;+;+;+;+;+	3432	8701	9271	8429	9971	8495	8550
ENSMUSG00000037346	18;18;18;18	13165499;13174285;13179569;13180272	13165751;13174448;13179657;13181391	+;+;+;+	1626	1	0	0	0	1	0
ENSMUSG00000065150	18	13368211	13368317	-	107	0	0	0	0	0	0
ENSMUSG00000024420	18;18;18;18;18;18;18;18;18	13845522;13865663;13873650;13876125;13975747;14002291;14097471;14129873;14131010	13847533;13865692;13873765;13876256;13975831;14005643;14097650;14129913;14131242	-;-;-;-;-;-;-;-;-	6182	3858	4218	3946	4410	3660	3700
ENSMUSG00000055795	18;18	14582159;14583375	14582219;14583820	+;+	507	5	8	1	3	4	5
ENSMUSG00000053740	18;18	14728622;14729921	14729879;14730186	+;+	1524	267	280	248	193	149	192
ENSMUSG00000037013	18;18;18;18;18;18;18;18;18;18;18	14782707;14792052;14795005;14795901;14798766;14799465;14809532;14813536;14828818;14837896;14841176	14785820;14792185;14795127;14795993;14798870;14799632;14809753;14813689;14828902;14837972;14841423	-;-;-;-;-;-;-;-;-;-;-	4523	7673	8570	7863	7023	6172	6050
ENSMUSG00000065369	18	14806276	14806439	-	164	0	4	1	2	1	0
ENSMUSG00000036743	18;18;18;18;18;18;18;18	14864660;14879676;14885013;14889488;14915003;14915791;14916131;14919856	14864841;14879802;14885137;14889610;14915020;14915910;14916193;14920808	+;+;+;+;+;+;+;+	1711	3	0	1	2	1	0
ENSMUSG00000054321	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	14941754;14955422;14957588;14962975;14963226;14965854;14971600;14979947;14980603;14988528;14994301;15000121;15000414;15002923;15017681;15056473	14942443;14955567;14957695;14963136;14963348;14965943;14972199;14980079;14980714;14988697;14994431;15000129;15000539;15002979;15017785;15058868	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5158	878	949	949	938	823	783
ENSMUSG00000036225	18;18;18;18;18;18;18;18	15127194;15132489;15144845;15148588;15166205;15166676;15220277;15309825	15128204;15132794;15144989;15148610;15166383;15166681;15222091;15309955	-;-;-;-;-;-;-;-	3616	1343	1511	1423	1696	1403	1390
ENSMUSG00000071867	18	15169755	15170201	+	447	45	67	39	36	36	39
ENSMUSG00000024411	18;18;18;18;18;18;18;18	15547903;15555838;15556088;15556600;15558097;15561168;15561454;15562109	15552238;15555942;15556168;15556764;15558511;15561247;15561501;15562193	-;-;-;-;-;-;-;-	5315	286	319	294	531	483	474
